ID,Road,Latitude,Longitude,X76
I79,A3,40.3137864,-3.4967511,3
I80,A3,40.2738519,-3.4504025,0
I81,A3,40.2598365,-3.3585637,2
I82,A3,40.1526605,-3.2478421,3
I83,A3,40.1220006,-3.157398,0
I84,A3,40.0292366,-3.0376378,0
I85,A3,39.92948,-2.8427592,0
I86,A3,39.7866247,-2.4266526,2
I87,A3,39.6546121,-2.3609063,3
I88,A3,39.4919488,-2.0026346,1
I89,A3,39.5180382,-1.7588975,1
I90,A3,39.5437899,-1.5189609,2
I91,A3,39.5407575,-1.3110682,2
I92,A3,39.5490691,-1.1864414,2
I93,A3,39.5004699,-1.0939614,0
I94,A3,39.4537082,-0.8642425,3
I95,A3,39.4320335,-0.7921794,0
