ID,Road,Latitude,Longitude,X91
I79,A3,40.3137864,-3.4967511,3
I80,A3,40.2738519,-3.4504025,3
I81,A3,40.2598365,-3.3585637,1
I82,A3,40.1526605,-3.2478421,3
I83,A3,40.1220006,-3.157398,3
I84,A3,40.0292366,-3.0376378,3
I85,A3,39.92948,-2.8427592,1
I86,A3,39.7866247,-2.4266526,1
I87,A3,39.6546121,-2.3609063,0
I88,A3,39.4919488,-2.0026346,3
I89,A3,39.5180382,-1.7588975,2
I90,A3,39.5437899,-1.5189609,3
I91,A3,39.5407575,-1.3110682,3
I92,A3,39.5490691,-1.1864414,1
I93,A3,39.5004699,-1.0939614,3
I94,A3,39.4537082,-0.8642425,0
I95,A3,39.4320335,-0.7921794,1
