ID,Road,Latitude,Longitude,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
I159,A5,40.2979018,-3.9516565,2,1,1,0,0,3,3,2,2,1,3,3,0,0,0,1,3,0,0,1,0,0,3,3,1,1,3,0,0,1,0,2,0,1,1,0,1,2,3,1,0,1,3,3,2,3,1,2,2,2,0,1,3,1,3,2,2,2,0,3,0,1,3,0,0,3,1,1,3,3,1,0,3,2,3,3,3,2,2,1,3,2,1,1,1,0,1,1,3,2,0,3,1,2,0,2,3,0,0,0
I160,A5,40.2205465,-4.0771195,1,3,1,3,0,3,0,1,2,2,1,2,2,0,1,0,2,3,2,3,3,0,2,1,1,1,3,3,3,3,3,0,2,2,0,2,1,2,1,2,2,1,0,0,3,2,0,3,2,0,0,2,0,1,2,3,2,3,3,3,2,2,3,3,0,0,3,0,2,2,2,3,0,1,0,3,0,2,3,3,2,1,1,3,2,2,3,3,2,3,2,2,2,2,0,3,1,2,1,2
I161,A5,40.1702279,-4.1608902,2,0,1,2,2,3,2,2,0,3,2,0,3,3,1,3,2,1,1,1,0,2,2,3,0,0,0,0,0,3,1,1,0,3,1,2,3,0,2,1,2,2,0,2,2,1,3,3,0,1,0,0,2,3,1,0,1,0,3,0,2,2,0,0,2,2,1,0,0,2,3,3,1,0,2,1,2,0,3,3,3,1,1,2,0,1,0,3,3,1,1,2,1,3,3,3,2,3,1,3
I162,A5,40.1266322,-4.2192551,2,0,0,2,0,0,3,1,0,3,3,2,3,0,1,3,2,3,2,2,1,0,3,2,1,0,3,1,3,0,1,2,2,2,2,3,0,3,1,3,3,1,1,3,2,2,0,2,3,2,0,3,3,1,2,1,1,1,1,2,1,0,0,2,0,0,2,0,0,2,1,1,1,3,0,0,3,2,0,1,3,1,2,2,1,2,3,1,0,0,2,2,2,1,3,0,3,2,2,2
I163,A5,40.0988002,-4.3363282,2,0,3,0,0,2,0,0,3,2,0,1,1,0,3,1,3,1,2,3,3,2,0,0,3,1,0,0,0,1,1,2,1,1,0,3,2,2,1,0,2,2,0,1,3,2,3,2,1,0,3,3,2,3,3,1,1,1,3,1,3,3,1,2,3,1,1,1,2,2,3,0,0,0,3,2,1,2,1,3,2,2,3,2,0,3,1,1,3,2,1,3,0,2,3,1,1,2,1,2
I164,A5,40.0349537,-4.4245174,3,3,3,2,2,1,1,1,3,0,3,0,3,1,3,0,3,1,3,3,1,3,1,2,3,0,3,3,2,2,1,1,0,3,0,3,0,3,2,1,3,3,0,0,0,3,0,3,3,1,2,0,0,1,3,3,1,0,1,1,0,2,3,3,2,1,2,2,3,3,1,3,1,0,3,0,1,0,1,3,0,2,0,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2
I165,A5,40.0202316,-4.5172146,2,3,3,0,0,1,1,3,2,1,3,1,1,1,3,0,3,3,0,2,2,2,0,0,3,1,2,2,3,3,0,0,3,3,0,3,0,1,1,3,3,3,0,3,1,3,3,2,3,2,2,2,0,0,0,2,0,0,0,2,1,3,1,0,0,1,0,3,3,1,2,1,0,0,2,2,2,0,0,3,2,3,3,0,3,1,2,3,3,3,2,2,0,3,0,2,2,3,3,1
I166,A5,39.9962522,-4.6687701,0,0,0,0,1,3,1,2,2,3,3,3,2,3,3,2,1,2,3,0,3,3,2,1,1,0,1,0,2,3,0,0,1,1,2,0,1,0,2,2,1,1,2,1,0,3,3,1,0,2,2,2,1,1,0,3,2,2,3,3,3,2,2,3,2,1,1,3,0,2,2,1,3,3,1,0,0,0,2,0,3,0,1,1,0,1,1,1,2,0,3,1,2,3,3,2,1,3,2,2
I167,A5,40.0039121,-4.7691705,3,0,3,3,2,1,0,2,0,0,3,3,3,0,2,3,1,3,3,1,3,0,1,0,2,0,1,2,3,2,3,0,0,0,1,2,1,2,0,2,2,3,2,2,2,2,3,3,0,1,2,3,2,3,1,1,0,1,3,0,3,2,0,2,1,1,1,0,2,0,1,3,2,2,2,3,2,2,1,1,3,3,0,2,2,2,3,1,0,1,1,3,3,2,0,0,2,0,1,3
I168,A5,39.9801077,-4.8533919,2,0,3,2,3,3,3,3,2,1,0,3,3,0,2,2,1,0,2,3,0,3,1,0,0,2,2,2,0,1,3,1,1,2,1,2,0,1,0,0,1,2,2,0,1,3,0,1,0,0,1,1,1,0,1,0,2,3,2,3,1,1,3,1,3,3,2,0,3,1,3,1,1,2,1,3,2,1,2,0,3,1,1,2,1,1,2,0,1,1,3,0,3,0,0,0,3,0,2,2
I169,A5,39.9069167,-5.2202461,1,1,2,3,2,3,3,2,2,2,3,2,3,3,1,0,2,3,3,3,3,0,2,0,0,2,1,1,1,0,3,1,3,2,1,3,3,2,2,3,0,1,3,3,2,3,1,3,0,0,1,0,0,2,3,2,0,2,0,0,2,1,1,1,0,0,2,2,0,1,3,2,1,2,3,3,1,3,3,0,3,0,2,1,1,3,2,0,1,0,0,3,0,0,3,0,1,0,3,2
