ID,Road,Latitude,Longitude,X42
I29,A2,40.5610813,-3.2560911,0
I30,A2,40.6246765,-3.1940946,1
I31,A2,40.6271627,-3.1494556,3
I32,A2,40.7469481,-3.031575,3
I33,A2,40.8043204,-2.9493169,2
I34,A2,40.8635256,-2.830125,0
I35,A2,40.8958556,-2.7621309,3
I36,A2,40.9735356,-2.6176243,2
I37,A2,41.034471,-2.4854771,3
I38,A2,41.1423985,-2.431793,1
I39,A2,41.2013129,-2.3800375,2
I40,A2,41.2521087,-2.2062733,3
I41,A2,41.3181331,-1.8035175,2
I42,A2,41.3327646,-1.6519781,1
I43,A2,41.374321,-1.5730139,0
I44,A2,41.4419946,-1.4808371,2
I45,A2,41.4788193,-1.4029082,3
I46,A2,41.4942666,-1.3432398,1
I47,A2,41.5474842,-1.2160333,2
I48,A2,41.6146524,-1.062096,3
I49,A2,41.6560977,-0.9550304,3
I50,A2,41.6352115,-0.7449006,0
I51,A2,41.5786916,-0.6618541,3
I52,A2,41.5407214,-0.5643712,1
I53,A2,41.5260964,-0.3595791,2
I54,A2,41.5163206,-0.1362906,1
I55,A2,41.5223453,0.0483205,0
I64,A2,41.5379606,0.4477917,3
I65,A2,41.6564281,0.5798823,0
I66,A2,41.6643234,0.6285698,3
I67,A2,41.6375237,0.765856,0
I68,A2,41.6395763,0.8743459,2
I69,A2,41.639881,0.955124,2
I70,A2,41.6367378,1.023016,0
I71,A2,41.6672709,1.295302,3
I72,A2,41.6467502,1.3213946,1
I73,A2,41.6357497,1.3383247,3
I74,A2,41.6221167,1.4470507,2
I75,A2,41.5950859,1.7209286,3
I76,A2,41.5732741,1.7861384,3
I77,A2,41.5472313,1.8514985,0
I78,A2,41.5005788,1.9101424,0
