ID,Road,Latitude,Longitude,X58
I29,A2,40.5610813,-3.2560911,1
I30,A2,40.6246765,-3.1940946,3
I31,A2,40.6271627,-3.1494556,3
I32,A2,40.7469481,-3.031575,2
I33,A2,40.8043204,-2.9493169,2
I34,A2,40.8635256,-2.830125,2
I35,A2,40.8958556,-2.7621309,2
I36,A2,40.9735356,-2.6176243,0
I37,A2,41.034471,-2.4854771,3
I38,A2,41.1423985,-2.431793,1
I39,A2,41.2013129,-2.3800375,3
I40,A2,41.2521087,-2.2062733,3
I41,A2,41.3181331,-1.8035175,2
I42,A2,41.3327646,-1.6519781,2
I43,A2,41.374321,-1.5730139,0
I44,A2,41.4419946,-1.4808371,0
I45,A2,41.4788193,-1.4029082,2
I46,A2,41.4942666,-1.3432398,2
I47,A2,41.5474842,-1.2160333,2
I48,A2,41.6146524,-1.062096,0
I49,A2,41.6560977,-0.9550304,1
I50,A2,41.6352115,-0.7449006,3
I51,A2,41.5786916,-0.6618541,2
I52,A2,41.5407214,-0.5643712,0
I53,A2,41.5260964,-0.3595791,0
I54,A2,41.5163206,-0.1362906,3
I55,A2,41.5223453,0.0483205,3
I64,A2,41.5379606,0.4477917,1
I65,A2,41.6564281,0.5798823,2
I66,A2,41.6643234,0.6285698,1
I67,A2,41.6375237,0.765856,2
I68,A2,41.6395763,0.8743459,0
I69,A2,41.639881,0.955124,0
I70,A2,41.6367378,1.023016,2
I71,A2,41.6672709,1.295302,2
I72,A2,41.6467502,1.3213946,3
I73,A2,41.6357497,1.3383247,2
I74,A2,41.6221167,1.4470507,1
I75,A2,41.5950859,1.7209286,1
I76,A2,41.5732741,1.7861384,1
I77,A2,41.5472313,1.8514985,3
I78,A2,41.5005788,1.9101424,0
