ID,Road,Latitude,Longitude,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
I96,A4,40.2718883,-3.6906584,2,3,0,1,0,0,3,1,3,0,2,3,0,3,0,1,3,1,1,3,0,1,3,2,2,0,3,3,2,1,3,2,1,2,3,0,3,0,2,3,2,2,1,2,1,0,3,2,0,2,2,3,1,2,1,0,1,3,2,3,0,1,3,2,2,0,0,0,2,2,2,1,1,1,2,0,0,0,3,3,3,0,2,0,3,0,3,2,3,3,0,1,0,1,2,0,0,1,1,1
I97,A4,40.0767396,-3.6397715,0,2,0,0,0,2,3,3,2,3,1,3,3,1,0,1,0,3,1,0,3,2,2,3,2,0,3,3,2,2,1,1,2,1,1,2,3,1,2,3,0,2,0,0,2,2,3,0,0,1,2,1,0,2,0,1,0,2,1,1,1,2,2,3,2,2,0,0,2,1,2,1,1,3,3,2,1,3,2,1,3,1,2,1,2,0,1,1,2,0,3,3,0,1,3,1,3,0,2,0
I98,A4,39.9769208,-3.5656995,2,2,2,0,0,3,1,1,0,2,1,1,3,2,1,1,1,2,1,1,3,1,0,3,3,1,3,0,2,0,2,2,3,3,1,0,1,1,3,2,1,2,3,2,3,1,0,3,2,3,3,0,0,0,3,1,1,0,1,2,0,0,3,0,3,3,0,2,3,3,1,3,0,3,3,2,0,0,1,0,0,0,1,2,1,1,3,2,2,3,2,2,1,1,0,3,1,3,0,3
I99,A4,39.9124755,-3.4763595,1,3,1,2,2,2,1,2,1,1,2,1,3,1,2,2,2,3,3,0,0,2,1,1,1,1,0,2,1,2,1,2,2,3,2,0,1,2,1,0,1,0,3,3,3,3,0,0,2,0,1,1,2,0,1,1,1,2,3,1,0,3,0,3,2,0,3,0,0,2,1,2,1,3,1,0,3,2,2,1,3,3,0,1,2,1,0,2,0,2,2,3,2,0,2,3,1,1,0,2
I100,A4,39.8260576,-3.4846556,0,2,3,0,3,2,3,2,3,2,2,1,1,3,1,3,0,0,3,1,2,2,0,1,3,0,3,3,3,0,0,3,1,3,1,0,1,2,2,3,0,2,3,3,1,3,2,1,3,0,2,1,3,2,2,0,2,0,3,2,1,1,0,3,1,0,3,0,1,0,3,3,2,1,0,0,0,0,0,3,2,0,1,0,0,1,2,0,2,1,1,3,3,0,0,0,0,0,0,0
I101,A4,39.7328203,-3.4905565,1,2,3,2,0,1,3,1,3,3,1,2,1,1,1,2,1,0,2,1,0,0,0,2,2,2,2,0,0,2,1,1,2,2,0,2,2,2,2,0,2,3,1,1,1,3,2,0,3,3,2,3,3,2,0,0,0,2,2,0,0,3,3,1,0,3,2,3,3,1,2,3,0,0,0,0,1,3,0,1,1,3,1,0,2,2,0,2,2,3,2,0,0,0,3,1,3,0,0,0
I102,A4,39.6645356,-3.5119069,0,0,3,3,0,1,2,2,2,1,0,1,3,1,0,0,0,2,1,1,3,2,1,1,2,3,3,0,3,2,2,1,2,1,1,1,0,2,0,3,3,3,2,2,3,3,3,1,0,1,3,3,1,1,0,2,0,3,2,2,1,2,2,2,2,2,1,1,1,3,2,1,3,1,2,1,2,2,1,2,0,0,2,2,0,1,1,1,1,0,3,2,0,0,1,3,2,2,3,0
I103,A4,39.6027968,-3.5250819,1,1,3,0,1,3,2,2,1,2,1,1,0,2,2,2,3,1,2,2,2,1,0,2,2,0,1,3,0,3,0,3,1,0,3,1,0,0,2,0,2,1,1,1,2,2,0,0,3,2,2,3,0,3,1,2,2,3,1,3,3,1,0,1,2,1,3,2,3,3,1,0,3,3,3,1,2,0,0,0,3,3,3,2,2,1,3,2,0,0,3,2,2,2,3,2,2,2,3,0
I104,A4,39.4967408,-3.5275495,2,1,3,0,3,2,3,0,2,3,3,1,2,2,3,1,0,3,2,0,0,3,0,1,2,1,3,2,3,3,1,1,1,2,2,3,2,0,2,3,0,2,1,0,1,3,0,2,3,2,1,1,0,0,1,3,2,1,2,2,3,0,2,3,0,0,1,2,0,0,3,1,0,3,1,0,1,2,0,3,1,1,0,3,2,0,0,0,2,3,1,0,2,0,3,0,1,1,1,3
I105,A4,39.4135697,-3.5109199,0,0,3,3,2,3,1,2,2,0,3,3,3,1,0,1,2,1,2,2,3,3,0,0,1,1,2,2,0,0,2,0,3,0,1,0,0,2,3,1,3,2,3,0,2,0,1,0,3,0,1,3,2,1,1,1,2,1,0,0,1,3,2,0,3,3,3,2,0,3,0,3,1,1,1,0,2,2,2,3,1,0,0,0,2,2,2,1,2,2,3,1,1,0,2,1,3,3,1,0
I106,A4,39.358858,-3.4897841,3,0,1,0,1,2,3,3,1,3,0,0,1,2,0,2,3,0,0,0,3,3,0,1,3,3,0,2,2,1,1,3,3,2,0,3,0,3,0,3,2,1,3,0,0,3,3,1,0,0,3,0,3,1,1,2,2,1,1,3,0,1,0,3,2,2,2,3,3,0,1,3,2,3,3,2,3,3,3,0,2,2,3,0,1,2,2,3,2,3,1,1,2,0,3,2,3,0,1,0
I107,A4,39.2810036,-3.4512675,0,0,3,0,0,0,2,3,3,1,1,0,0,1,3,0,1,0,1,2,1,0,2,2,2,1,0,3,1,3,0,1,3,3,3,2,0,2,3,2,1,0,3,1,3,0,1,3,1,2,3,1,3,2,0,3,0,2,3,2,1,1,2,0,1,3,1,1,2,3,0,2,3,3,3,3,2,0,0,0,3,2,1,3,3,3,3,2,2,2,1,1,2,1,3,3,3,0,3,0
I108,A4,39.1965794,-3.4043177,1,1,1,1,2,2,3,0,2,3,3,2,1,2,0,3,3,3,0,2,0,3,0,3,3,2,1,0,2,0,2,2,1,3,1,2,3,1,2,1,1,2,2,2,0,1,0,2,2,2,2,3,1,3,0,1,3,3,2,0,0,0,1,1,1,1,1,1,2,2,0,3,2,2,3,1,2,3,2,3,0,0,2,2,0,0,3,3,1,3,3,0,0,3,2,3,1,1,2,2
I109,A4,39.1656254,-3.3925373,1,0,3,0,2,3,0,1,3,0,0,2,3,3,3,3,1,1,1,2,3,1,3,2,2,0,3,0,1,2,2,3,0,2,3,2,0,0,2,3,2,2,0,0,3,3,1,2,1,2,2,0,1,0,2,3,2,3,0,2,1,2,3,1,0,2,3,2,2,0,1,0,0,1,3,0,3,1,1,2,0,0,2,2,2,3,2,2,1,0,3,2,3,1,1,0,1,1,2,3
I110,A4,39.0959001,-3.3767659,3,3,1,0,0,1,2,1,2,0,3,3,1,0,1,3,0,3,1,0,2,0,3,3,3,3,3,3,0,1,0,2,1,2,3,0,0,3,3,0,1,3,3,1,1,2,2,1,1,1,1,1,2,3,2,2,3,1,2,0,0,1,3,1,3,0,3,3,3,2,2,3,3,3,0,0,3,3,0,1,0,2,2,2,1,3,0,2,0,1,1,2,2,3,0,0,1,0,2,0
