ID,Road,Latitude,Longitude,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
I201,A6,41.4728627,-4.9893725,2,0,0,1,1,0,0,1,2,2,1,0,0,3,1,0,1,1,0,3,1,1,3,2,2,3,0,1,3,0,3,3,0,1,0,0,0,2,0,1,3,1,1,2,1,1,2,3,2,2,0,2,3,3,2,0,2,1,2,1,3,1,0,0,0,0,3,1,0,3,3,2,0,0,0,3,3,3,1,1,0,3,0,2,3,2,0,2,1,2,1,0,2,2,1,2,3,0,3,2
I202,A6,41.6310975,-5.1856673,0,1,0,0,3,3,0,0,3,3,0,2,3,1,1,0,3,0,2,3,1,3,1,2,0,1,3,0,0,3,3,1,1,1,2,2,2,1,3,0,1,1,3,1,1,3,2,0,0,2,3,0,2,3,3,3,0,0,3,0,2,3,1,1,3,3,1,2,0,0,0,1,1,2,3,3,0,2,2,3,2,2,1,3,2,1,2,3,0,3,3,0,2,0,3,3,1,1,3,3
I203,A6,41.8840998,-5.4594886,1,2,1,3,3,3,3,2,1,3,2,3,2,1,2,2,3,3,1,0,2,0,0,0,2,2,3,1,3,1,0,1,0,3,2,3,0,3,0,3,3,0,3,3,1,0,3,0,0,0,3,1,1,0,3,0,0,0,1,2,2,1,1,0,2,1,0,0,1,1,3,2,0,1,1,3,1,2,0,3,2,0,1,3,2,1,0,3,1,2,3,1,2,3,0,2,3,0,3,1
I204,A6,41.9851426,-5.6297124,3,1,2,1,0,2,0,2,2,1,1,0,0,1,1,3,0,0,1,0,0,3,1,2,3,0,0,0,3,0,3,2,1,2,2,0,0,0,0,0,1,3,0,0,1,1,3,2,2,1,0,0,1,1,1,1,3,1,1,1,2,1,0,1,0,3,0,2,0,1,0,1,3,1,3,0,2,0,0,3,1,2,0,3,3,2,3,2,0,1,3,3,2,0,1,3,2,1,3,2
I205,A6,42.0221047,-5.6694917,0,1,1,2,3,1,3,0,3,2,1,1,1,3,3,2,3,1,3,1,1,0,2,0,0,0,2,1,0,2,3,0,2,2,3,1,2,1,1,3,0,3,0,0,1,0,2,2,3,2,3,0,1,1,2,3,0,3,3,0,3,2,1,3,3,1,2,0,2,0,2,3,2,2,3,1,3,1,1,0,0,3,1,3,2,3,0,2,0,3,2,0,0,1,1,3,3,2,1,0
I206,A6,42.1037161,-5.721312,1,2,0,0,2,2,3,0,3,3,3,0,0,2,1,3,0,1,2,1,2,0,2,0,3,0,0,3,2,3,2,0,2,3,1,3,2,3,1,3,0,2,2,3,1,1,1,2,0,1,3,3,2,2,3,2,2,3,3,0,3,1,0,3,2,0,2,3,3,3,3,2,2,1,1,0,0,3,2,1,0,2,0,0,3,3,1,1,3,3,0,0,1,3,0,0,0,2,2,3
I207,A6,42.2811783,-5.8854992,2,2,3,1,0,0,1,2,1,0,3,3,1,1,1,1,0,2,0,3,1,1,1,2,1,1,1,0,1,1,2,3,1,0,1,0,1,0,1,0,3,3,1,3,0,3,3,2,2,3,1,0,0,1,3,0,1,3,3,0,2,0,2,2,0,2,1,3,2,1,3,2,0,3,1,2,1,3,1,2,0,1,0,3,0,0,3,3,2,0,1,1,3,1,2,2,3,2,0,3
I208,A6,42.3917176,-5.9995467,0,2,2,1,2,1,2,2,0,0,1,1,0,3,3,1,3,3,2,2,2,0,3,1,2,0,3,0,2,3,1,3,0,1,2,1,2,3,0,3,3,2,3,3,1,0,3,2,0,0,3,2,3,0,1,2,0,3,3,1,3,0,0,2,2,2,3,1,2,3,0,3,2,0,2,2,2,2,0,2,2,0,3,1,0,1,1,3,0,2,2,3,1,0,3,3,2,3,3,3
I209,A6,42.623483,-6.2996271,3,1,3,2,3,0,2,0,2,2,1,1,3,3,3,2,3,2,0,3,3,3,3,0,0,0,3,0,0,3,3,1,0,3,0,1,3,0,1,1,0,2,1,0,0,2,3,1,2,3,0,3,3,1,2,2,0,2,0,2,1,1,0,3,1,2,1,0,2,3,0,2,2,3,0,2,1,3,2,2,3,0,3,3,3,3,1,0,0,2,3,3,2,0,1,0,2,3,1,2
I210,A6,42.5625867,-6.5694358,2,1,1,1,0,2,3,2,0,2,2,0,0,3,0,1,0,0,2,3,2,0,1,2,3,0,2,3,0,0,1,0,3,0,2,2,2,1,1,2,3,3,0,3,2,3,3,3,1,3,1,1,3,2,3,1,2,3,2,2,2,0,1,3,1,2,3,0,0,1,0,1,0,2,2,2,0,3,1,2,3,3,2,1,2,2,3,3,2,2,2,1,2,2,2,0,2,2,3,0
I211,A6,42.7406698,-7.0486299,0,3,1,1,3,1,0,2,0,1,0,2,3,1,1,1,3,0,1,3,3,3,1,0,0,2,1,3,1,1,0,1,0,2,0,3,1,3,0,3,2,2,3,0,2,0,0,2,3,2,3,0,1,0,1,1,1,1,1,1,3,3,2,3,3,0,3,2,3,3,3,3,1,2,1,1,2,3,3,1,3,2,3,1,1,1,1,0,3,2,2,2,1,1,1,2,2,1,0,0
