ID,Road,Latitude,Longitude,X30
I330,A8,43.2735658,-7.7024761,0
I331,A8,43.3293775,-7.600147,0
I332,A8,43.3792641,-7.3795309,2
I333,A8,43.5317871,-7.0980063,0
I334,A8,43.543773,-7.0326111,3
I335,A8,43.5238612,-6.5328671,0
I336,A8,43.5397912,-6.4264371,1
I337,A8,43.519878,-6.070068,1
I338,A8,43.5338179,-5.9375455,2
I339,A8,43.5029467,-5.800903,3
I340,A8,43.5049389,-5.7597043,1
I341,A8,43.5139028,-5.6718136,2
I342,A8,43.4770425,-5.5255582,1
I343,A8,43.4964717,-5.370054,3
I344,A8,43.4366696,-4.9841592,1
I345,A8,43.4247021,-4.8104379,3
I346,A8,43.3912803,-4.6258368,3
I347,A8,43.3613346,-4.3951239,0
I348,A8,43.3268811,-4.1645336,3
I349,A8,43.3543452,-4.0848827,3
I350,A8,43.3531609,-3.7754759,2
I351,A8,43.4110499,-3.5859619,0
I352,A8,43.4020711,-3.405374,2
I353,A8,43.3955853,-3.2405791,2
I354,A8,43.3501651,-3.2131133,2
I355,A8,43.3124556,-3.0359632,2
I356,A8,43.2102104,-2.7106927,3
I357,A8,43.2813974,-2.1856615,3
