ID,Road,Latitude,Longitude,X92
I225,A7,36.2084043,-5.381534,2
I227,A7,36.3487091,-5.2713918,2
I228,A7,36.4341071,-5.1569151,1
I230,A7,36.4860357,-5.0748395,1
I232,A7,36.5240499,-4.9761342,0
I234,A7,36.5064249,-4.8241066,2
I236,A7,36.4944887,-4.7703981,2
I237,A7,36.4911767,-4.6997165,2
I238,A7,36.5070458,-4.6402359,1
I239,A7,36.5746603,-4.6197867,1
I240,A7,36.6103048,-4.5349929,2
I241,A7,36.6172115,-4.5189855,1
I242,A7,36.6274393,-4.5147492,2
I243,A7,36.6906493,-4.5261218,1
I244,A7,36.7500226,-4.4960381,2
I245,A7,36.7451396,-4.4609334,0
I246,A7,36.7384419,-4.3911857,0
I247,A7,36.7244089,-4.2821377,2
I248,A7,36.7261976,-4.2137458,2
I249,A7,36.748982,-4.1592433,3
I250,A7,36.7564608,-4.1014793,1
I251,A7,36.7576126,-4.047127,1
I252,A7,36.7471767,-3.9722183,1
I253,A7,36.7569766,-3.91233,3
I254,A7,36.7575954,-3.6653967,0
I255,A7,36.7293619,-3.4732862,0
I256,A7,36.7502544,-3.2124038,0
I257,A7,36.7530396,-3.1053514,1
I258,A7,36.7482771,-3.064496,3
I259,A7,36.7564092,-2.9131337,1
I260,A7,36.7628902,-2.8599401,2
I261,A7,36.7661734,-2.8274746,1
I262,A7,36.7835327,-2.7518792,3
I263,A7,36.7910425,-2.707419,0
I264,A7,36.8272059,-2.5880284,0
I265,A7,36.8298166,-2.5155659,0
I266,A7,36.8686053,-2.3147322,0
I267,A7,36.8721759,-2.2270776,3
I268,A7,36.9070828,-2.2125937,0
I269,A7,36.9652713,-2.1038768,0
I270,A7,37.0336993,-2.0422503,1
I271,A7,37.1090306,-2.0295045,0
I272,A7,37.2085584,-1.8987844,0
I273,A7,37.3286548,-1.9679853,3
I274,A7,37.2800792,-1.8416211,3
I275,A7,37.4678877,-1.5404412,0
I276,A7,37.6361711,-1.2286613,1
I277,A7,37.6132617,-1.7554901,1
I278,A7,37.8247404,-1.4083182,2
I279,A7,37.9398182,-1.2696526,2
I280,A7,37.9955744,-1.236007,2
I281,A7,38.0034672,-1.1787528,0
I282,A7,38.0960148,-1.0483631,0
I283,A7,38.1386539,-0.9399244,1
I287,A7,38.2695498,-0.748862,2
I288,A7,38.4531465,-0.3735504,3
I289,A7,38.602016,-0.0742202,0
I290,A7,38.7569294,0.0521226,3
I291,A7,38.878908,-0.0522476,3
I292,A7,39.1531279,-0.3337722,1
I295,A7,39.0652009,-0.5425153,1
I296,A7,39.3704802,-0.4554076,3
I297,A7,39.5083566,-0.5082793,0
I298,A7,39.546753,-0.4444218,0
I299,A7,39.584866,-0.410089,1
I300,A7,39.6226924,-0.3270049,2
I301,A7,39.7777492,-0.2277846,2
I302,A7,39.8080858,-0.1598067,1
I303,A7,39.9953478,-0.0780959,1
I304,A7,40.0615963,0.0626664,1
I305,A7,40.1331293,0.1395199,3
I306,A7,40.2795781,0.2308717,0
I307,A7,40.3117866,0.24286,3
I308,A7,40.4452046,0.3956424,0
I309,A7,40.5845789,0.4601857,0
I310,A7,40.7956101,0.6661807,0
I311,A7,40.8483224,0.751249,2
I312,A7,40.9562735,0.8642028,3
I313,A7,40.9871186,0.8978479,1
I314,A7,41.1676613,1.4197694,2
I315,A7,41.2425685,1.5289461,0
I316,A7,41.3106854,1.6257631,3
I317,A7,41.3722905,1.7307386,0
I318,A7,41.4232638,1.8234467,1
I319,A7,41.4626399,1.9061875,0
I320,A7,41.54131,2.1827571,2
I321,A7,41.5585246,2.251765,0
I322,A7,41.6324698,2.3952739,2
I323,A7,41.7445094,2.6927839,0
I324,A7,41.8823036,2.7705465,1
I325,A7,41.9806376,2.7801595,0
I326,A7,42.0563917,2.8816114,1
I327,A7,42.2776344,2.9406408,2
I328,A7,42.3624207,2.8953222,1
I329,A7,42.4306236,2.8637365,2
