ID,Road,Latitude,Longitude,X15
I225,A7,36.2084043,-5.381534,2
I227,A7,36.3487091,-5.2713918,3
I228,A7,36.4341071,-5.1569151,0
I230,A7,36.4860357,-5.0748395,1
I232,A7,36.5240499,-4.9761342,2
I234,A7,36.5064249,-4.8241066,0
I236,A7,36.4944887,-4.7703981,3
I237,A7,36.4911767,-4.6997165,0
I238,A7,36.5070458,-4.6402359,3
I239,A7,36.5746603,-4.6197867,3
I240,A7,36.6103048,-4.5349929,2
I241,A7,36.6172115,-4.5189855,3
I242,A7,36.6274393,-4.5147492,3
I243,A7,36.6906493,-4.5261218,3
I244,A7,36.7500226,-4.4960381,1
I245,A7,36.7451396,-4.4609334,3
I246,A7,36.7384419,-4.3911857,0
I247,A7,36.7244089,-4.2821377,1
I248,A7,36.7261976,-4.2137458,3
I249,A7,36.748982,-4.1592433,3
I250,A7,36.7564608,-4.1014793,2
I251,A7,36.7576126,-4.047127,3
I252,A7,36.7471767,-3.9722183,3
I253,A7,36.7569766,-3.91233,1
I254,A7,36.7575954,-3.6653967,2
I255,A7,36.7293619,-3.4732862,0
I256,A7,36.7502544,-3.2124038,2
I257,A7,36.7530396,-3.1053514,0
I258,A7,36.7482771,-3.064496,1
I259,A7,36.7564092,-2.9131337,3
I260,A7,36.7628902,-2.8599401,0
I261,A7,36.7661734,-2.8274746,3
I262,A7,36.7835327,-2.7518792,1
I263,A7,36.7910425,-2.707419,3
I264,A7,36.8272059,-2.5880284,0
I265,A7,36.8298166,-2.5155659,2
I266,A7,36.8686053,-2.3147322,2
I267,A7,36.8721759,-2.2270776,2
I268,A7,36.9070828,-2.2125937,1
I269,A7,36.9652713,-2.1038768,0
I270,A7,37.0336993,-2.0422503,2
I271,A7,37.1090306,-2.0295045,3
I272,A7,37.2085584,-1.8987844,0
I273,A7,37.3286548,-1.9679853,2
I274,A7,37.2800792,-1.8416211,1
I275,A7,37.4678877,-1.5404412,1
I276,A7,37.6361711,-1.2286613,1
I277,A7,37.6132617,-1.7554901,0
I278,A7,37.8247404,-1.4083182,1
I279,A7,37.9398182,-1.2696526,2
I280,A7,37.9955744,-1.236007,3
I281,A7,38.0034672,-1.1787528,3
I282,A7,38.0960148,-1.0483631,2
I283,A7,38.1386539,-0.9399244,0
I287,A7,38.2695498,-0.748862,2
I288,A7,38.4531465,-0.3735504,3
I289,A7,38.602016,-0.0742202,1
I290,A7,38.7569294,0.0521226,0
I291,A7,38.878908,-0.0522476,2
I292,A7,39.1531279,-0.3337722,1
I295,A7,39.0652009,-0.5425153,0
I296,A7,39.3704802,-0.4554076,3
I297,A7,39.5083566,-0.5082793,3
I298,A7,39.546753,-0.4444218,2
I299,A7,39.584866,-0.410089,1
I300,A7,39.6226924,-0.3270049,1
I301,A7,39.7777492,-0.2277846,3
I302,A7,39.8080858,-0.1598067,0
I303,A7,39.9953478,-0.0780959,1
I304,A7,40.0615963,0.0626664,2
I305,A7,40.1331293,0.1395199,0
I306,A7,40.2795781,0.2308717,0
I307,A7,40.3117866,0.24286,0
I308,A7,40.4452046,0.3956424,3
I309,A7,40.5845789,0.4601857,2
I310,A7,40.7956101,0.6661807,2
I311,A7,40.8483224,0.751249,3
I312,A7,40.9562735,0.8642028,2
I313,A7,40.9871186,0.8978479,2
I314,A7,41.1676613,1.4197694,3
I315,A7,41.2425685,1.5289461,2
I316,A7,41.3106854,1.6257631,1
I317,A7,41.3722905,1.7307386,2
I318,A7,41.4232638,1.8234467,0
I319,A7,41.4626399,1.9061875,1
I320,A7,41.54131,2.1827571,0
I321,A7,41.5585246,2.251765,2
I322,A7,41.6324698,2.3952739,2
I323,A7,41.7445094,2.6927839,0
I324,A7,41.8823036,2.7705465,3
I325,A7,41.9806376,2.7801595,2
I326,A7,42.0563917,2.8816114,2
I327,A7,42.2776344,2.9406408,3
I328,A7,42.3624207,2.8953222,3
I329,A7,42.4306236,2.8637365,3
